file_path,scope,review_status,reviewer,related_audit_ids
.gitattributes,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
.github/workflows/application.yml,CI,全读(主审配方核查),主审+agent-deploy,AUD-DEP/AUD-TST
.github/workflows/repository-contracts.yml,CI,全读(主审配方核查),主审+agent-deploy,AUD-DEP/AUD-TST
.gitignore,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
CONTRIBUTING.md,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
README.md,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
ZCODE_HANDOFF.md,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
docs/repository/AUDIT_20260919.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/CLEANUP_PROPOSAL.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/DELIVERY.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/FIXES_20260919.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/LICENSE_STATUS.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/STRUCTURE.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/cleanup_candidates.tsv,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/cleanup_inventory.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/cleanup_inventory.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/cleanup_inventory.tsv,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/deduplication_mapping.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/deletion_request.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/api_backend_notes.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/api_repro_results.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/backend_audit.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/backend_repro_results.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/deployment_audit.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/report_ui_audit.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/evidence/requirements_audit.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/execution_status.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/main_only_inventory.tsv,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/repository/media_facts.json,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/独立审查报告_20260921.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/赛题要求逐条对照验收_20260920.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/问题清单_全面审计_20260921.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
docs/项目评估报告_20260920.md,仓库级文档/审计,抽样+旧审计待复验清单(agent-delivery),agent-delivery,AUD-DEL
tools/verify_repository.py,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
双模型接续审计.md,仓库根,已读,agent-delivery/主审,AUD-DEL/AUD-DEP
药衡智析_增量源码交接/README.md,其他,已列清单,主审,'-
药衡智析_增量源码交接/prepare_team_workspace.py,其他,已列清单,主审,'-
药衡智析_增量源码交接/public_source_candidate/.dockerignore,其他,已列清单,主审,'-
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/7.（创灵境）2026年第二届重庆市AI大模型创新应用大赛企业出题.docx,赛题原始资料,关键件全读(DOCX/RPA/README/问题报告/CSV表头)+PDF文本层由知识链覆盖,主审,REQ来源
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/创灵境_考题模拟数据1.1.zip,赛题原始资料,关键件全读(DOCX/RPA/README/问题报告/CSV表头)+PDF文本层由知识链覆盖,主审,REQ来源
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_人工工时明细_2026年1-6月.csv,赛题原始资料,关键件全读(DOCX/RPA/README/问题报告/CSV表头)+PDF文本层由知识链覆盖,主审,REQ来源
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_制造费用明细_2026年1-6月.csv,赛题原始资料,关键件全读(DOCX/RPA/README/问题报告/CSV表头)+PDF文本层由知识链覆盖,主审,REQ来源
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_原材料消耗明细_2026年1-6月.csv,赛题原始资料,关键件全读(DOCX/RPA/README/问题报告/CSV表头)+PDF文本层由知识链覆盖,主审,REQ来源
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_成本汇总_2025年1-6月.csv,赛题原始资料,关键件全读(DOCX/RPA/README/问题报告/CSV表头)+PDF文本层由知识链覆盖,主审,REQ来源
