pharma\__init__.py	FILE	1 lines	1
pharma\actions.py	function	digest	11
pharma\actions.py	class	ExecutableAction	13
pharma\actions.py	method	ExecutableAction.concrete	29
pharma\actions.py	method	ExecutableAction.assignee_complete	42
pharma\actions.py	method	ExecutableAction.source_complete	48
pharma\actions.py	function	validate_action	52
pharma\actions.py	function	validate_edit_types	55
pharma\actions.py	function	confirmed_payload_matches	64
pharma\actions.py	function	notification_proven	67
pharma\actions.py	function	protocol_data	77
pharma\actions.py	function	action_details	86
pharma\actions.py	function	action_identity	90
pharma\actions.py	function	now	93
pharma\actions.py	class	ActionStore	95
pharma\actions.py	method	ActionStore.__init__	96
pharma\actions.py	method	ActionStore.db	103
pharma\actions.py	method	ActionStore._decode	109
pharma\actions.py	method	ActionStore.get	117
pharma\actions.py	method	ActionStore.list	119
pharma\actions.py	method	ActionStore.draft	121
pharma\actions.py	method	ActionStore.edit	139
pharma\actions.py	method	ActionStore.confirm	167
pharma\actions.py	method	ActionStore.acknowledge	177
pharma\actions.py	method	ActionStore.pending	188
pharma\actions.py	method	ActionStore._state	190
pharma\actions.py	method	ActionStore._protocol_error	196
pharma\actions.py	method	ActionStore._query_failed	200
pharma\actions.py	method	ActionStore._reconcile	204
pharma\actions.py	method	ActionStore.deliver_one	219
pharma\actions.py	method	ActionStore.refresh	244
pharma\actions.py	FILE	250 lines	250
pharma\api.py	function	optional_token_guard	20
pharma\api.py	class	AnalysisRequest	28
pharma\api.py	class	ReportRequest	33
pharma\api.py	class	SearchRequest	37
pharma\api.py	class	Assignee	41
pharma\api.py	class	ActionRequest	43
pharma\api.py	class	ConfirmRequest	46
pharma\api.py	class	ReviewDimension	47
pharma\api.py	class	ReviewRequest	50
pharma\api.py	class	ReviewImportEntry	55
pharma\api.py	class	ReviewImport	58
pharma\api.py	function	value_error	63
pharma\api.py	function	key_error	65
pharma\api.py	function	health	67
pharma\api.py	function	selected_context	75
pharma\api.py	function	scoped_analysis	79
pharma\api.py	function	resolved_analysis	88
pharma\api.py	function	industry_catalog	97
pharma\api.py	function	get_catalog	102
pharma\api.py	function	analysis	106
pharma\api.py	function	dashboard_heatmap	124
pharma\api.py	function	get_analysis	132
pharma\api.py	function	get_benchmark	134
pharma\api.py	function	_generation_versions	164
pharma\api.py	function	_enqueue_report	188
pharma\api.py	function	report	202
pharma\api.py	function	jobs	206
pharma\api.py	function	job	210
pharma\api.py	function	artifact	212
pharma\api.py	function	_current_hashes	218
pharma\api.py	function	_submit_review	237
pharma\api.py	function	_recalc_acceptance	247
pharma\api.py	function	submit_review	269
pharma\api.py	function	list_reviews	271
pharma\api.py	function	report_acceptance	276
pharma\api.py	function	import_reviews	280
pharma\api.py	function	imports	287
pharma\api.py	function	_reject_active_parse	290
pharma\api.py	class	DataParseRequest	295
pharma\api.py	class	VectorSwitchRequest	299
pharma\api.py	function	data_parse	304
pharma\api.py	function	kb_build	315
pharma\api.py	function	template_parse	325
pharma\api.py	function	templates	336
pharma\api.py	class	ImportMappingRequest	341
pharma\api.py	class	ImportValidateRequest	344
pharma\api.py	class	ImportPublishRequest	346
pharma\api.py	class	KnowledgePublishRequest	349
pharma\api.py	function	import_upload	354
pharma\api.py	function	import_preview	359
pharma\api.py	function	import_file	364
pharma\api.py	function	import_list	370
pharma\api.py	function	import_detail	374
pharma\api.py	function	import_mapping	378
pharma\api.py	function	import_validate	387
pharma\api.py	function	import_publish	395
pharma\api.py	function	import_template_check	406
pharma\api.py	function	kb	412
pharma\api.py	function	kb_search	422
pharma\api.py	function	draft	437
pharma\api.py	function	list_actions	439
pharma\api.py	function	edit_action	441
pharma\api.py	function	confirm	443
pharma\api.py	function	refresh	445
pharma\api.py	class	AcknowledgementRequest	446
pharma\api.py	function	acknowledge	451
pharma\api.py	function	get_action	455
pharma\api.py	function	_month_query	460
pharma\api.py	function	forecast	464
pharma\api.py	function	attribution	473
pharma\api.py	function	agent_decision	487
pharma\api.py	function	apply_decision	502
pharma\api.py	function	kb_graph	516
pharma\api.py	function	model_routes	526
pharma\api.py	class	ModelSettingsPayload	532
pharma\api.py	function	get_model_settings	537
pharma\api.py	function	put_model_settings	541
pharma\api.py	function	test_model_settings	545
