工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2025-01,42800,6.78,1.5,2.33,10.61,454108.0
中药一厂,银黄口服液,10ml×10支/盒,2025-02,36200,6.86,1.53,2.38,10.77,389874.0
中药一厂,银黄口服液,10ml×10支/盒,2025-03,49400,6.72,1.46,2.26,10.44,515736.0
中药一厂,银黄口服液,10ml×10支/盒,2025-04,52300,6.8,1.48,2.3,10.58,553334.0
中药一厂,银黄口服液,10ml×10支/盒,2025-05,55100,6.84,1.51,2.36,10.71,590121.0
中药一厂,银黄口服液,10ml×10支/盒,2025-06,47500,6.79,1.48,2.28,10.55,501125.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-01,80800,4.38,1.03,1.63,7.04,568832.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-02,68400,4.45,1.06,1.66,7.17,490428.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-03,90300,4.3,1.0,1.58,6.88,621264.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-04,93100,4.36,1.02,1.61,6.99,650769.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-05,96900,4.42,1.04,1.64,7.1,687990.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-06,85500,4.38,1.02,1.6,7.0,598500.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,30400,12.12,2.08,3.03,17.23,523792.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,26600,12.28,2.13,3.08,17.49,465234.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,33300,11.93,2.03,2.96,16.92,563436.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,36100,12.1,2.06,3.0,17.16,619476.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,38000,12.22,2.1,3.06,17.38,660440.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,33300,12.07,2.06,2.98,17.11,569763.0
