scope	path	bytes	git_blob	action
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	7.（创灵境）2026年第二届重庆市AI大模型创新应用大赛企业出题.docx	35554	d8ecf81a7367151724f3edb3f41ccdfbdd652052	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析/增量源码交接/public_source_candidate/05_原型/scripts/verify.py	7776	8b9bc165d4299d76487d12efe90f1ec5551bd32d	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/SHA256.json	60666	9e9e1991515a47e5012664874b18d1afbca0a1f0	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/report_chart_corpus.sql	681	1fd0c8cd989223f7c1e68428b0a6436c50ef833f	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/report_chart_scenarios.sql	1248	2b6ff05daf4ecedb5088c17da80708835e40e0d4	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/report_table_scenarios.sql	885	6246a7a9d1b7d504d41e61bd389304ae36cfca57	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/report_table_stack.sql	1139	c5e5add0fa42f41aee53f655a1d071bf2d80c318	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/制药成本模拟数据深度分析.ipynb	23051	df2ab412f8c24532419f2ca29867863316484e6e	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/外部资料/权威来源清单.md	1453	3a91f83ed1f593fd5e5705ab28640c6dddae8a46	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/03_研究/开源项目/GitHub开源项目筛选.md	1699	f9f3217529c736d9f149bb1335a456bc1b84b2c1	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/04_方案与文档/placeholder_map.json	45846	d5e479fcf7f39e14c327df6d091f44f859b63061	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/04_方案与文档/月度成本分析报告工作模板.docx	30791	2bcb1c53ce30e5cb7d3414d50a2ed7ad399d7f2a	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/04_方案与文档/系统初步方案.md	2646	cbffaf6cce7c63b6d324c9c28175f21958fcc436	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/04_方案与文档/赛题逐条合规审计与详细技术方案.md	10501	8baa6c95806905a2b336e21d2eb9769bbe1611c7	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/frontend/dist/.build-inputs	64	75ddf41b65e44c9d1cba3330ebb7b1be022c151e	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/frontend/dist/assets/index-BsEabuMe.js	754914	e4ddcd5f76d70436ed95e2e012382583b41bd1e9	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/frontend/dist/assets/index-CQZZKMlN.css	10669	e3f8061a50da76e705333349aa790050a2b5db0a	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/frontend/dist/favicon.svg	247	e816df0d9cf0f2187de6f7030825228017ad1bb0	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/frontend/dist/index.html	490	7492bfb287db070e7f364b836d3cd8a46f17c605	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/scripts/package_handoff.py	7604	b58a046ab1111be39678220651ed4a24e16cddea	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/scripts/render_pages.py	1778	3c82294ff7ff6204ee52b7e1de3169d38daf8b64	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/scripts/unpack_acceptance.py	5207	96e31644145c7e06640ee559e1922f09ad3dbdd8	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/scripts/verify_rpa_live.py	3959	f1a7c86aa40526480633ebe27f1d33527a9ff849	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e.mjs	9568	5690b65f97302e5ad7032cd0f71f9214588cfca4	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_final_artifacts.mjs	2559	91726514152cc77f30906348a2159fa9e4313f7b	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_incremental_20260916.mjs	14772	054dc02bc1fc6a9c1f3e397a1cae0050a1617e42	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_narrative.mjs	4524	fbbeffa2ac6a4a69ef82f7510e15da8cc832f19d	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_plan_incremental_20260916.mjs	5756	95f756e1850cd014ec39177444fe126a6b2e6163	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_recovery.mjs	3048	a70a810696ef11586b4bf5ecf454812be2a0f31d	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_report_artifact.mjs	3279	58b19d2460eb846296661a0ac50b04ab13626ac4	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/e2e_windows.mjs	3229	96f06be71216e6794be0881bf1f3bf86ca4dedc8	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_incremental_reports.py	1355	746ba9f58940498a473051f989cda3c9088e0344	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_ingestion.py	2300	5b65c09b2c085b26765c0ec9a9ef805d754321ac	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_knowledge.py	994	0be67cdca0fedbf347b5a17bdffbbc748a052bec	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_metrics.py	8891	a50094068a9e36e68fcfdc7946bebb16bab45897	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_narrative.py	14718	132fd8466d0102275736ea6bb389b911aff07ab6	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_reports.py	2563	784941049c16b7cb46536fbdc21798f2c3b2add7	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/05_原型/tests/test_retrieval_incremental.py	11209	160760fedcd6c5c59aa7d98ff3a3df77ad9d9238	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/FLASH_VISUAL_ROLE.md	2453	465d061d249091aa1e41d1fc584cbb1f8c7434e3	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/STATUS.md	3992	caaa4b5bba48dbdba0aaec5dff3f69c5e20a9c27	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-browser-final/input/1366_benchmark.png	527010	e00974c5e257decdd0f64de8b2bd8c19dd9e145b	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-browser-final/input/1366_cost.png	117879	d8bf7552c4d18d7419a3d9289be251bf3f5e4a7e	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-browser-final/input/1366_evidence.png	202409	bfe3539dc110d5914704695c89b0f2170ca8753c	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-browser-final/input/1366_quarter.png	122206	bd1c25ed696b3a1fa1c974a097e07c3f4a58f05a	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-browser-final/request.json	955	94fe362be8e60b6712a9dfa09a65caac687ed587	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/input/page-01.png	192968	72458b7bc9450775ce895bb4d8d668d06c8cf4ff	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/input/page-02.png	183274	b2e0a19615703db6a5f6165281fc27d02a9ad2fa	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/input/page-03.png	315901	a451725a50553123839d2e5a5804a700a5356dee	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/input/page-04.png	185196	7bf1e5d2ad5424487330c1d88f4c3a858fab5dd2	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/input/page-05.png	249031	d8fdd43c256958ad0c726f55e8556f7b008fd253	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/input/page-06.png	288478	3b92804720b00f6170fea2eb097f359ee0a50723	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-q2-pages/request.json	1833	29efd223bad8917dfbd1d32bb9ebd5851c72afc0	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-s1-pages/input/page-01.png	187445	7b14343a8ba3913cf1271813a6f8a926b4d5db82	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-s1-pages/input/page-02.png	149791	8620f4390565269cb3d907b497c185011a7597a2	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
origin/main@acc469312c8366e4b0438e702a5f435779e7a125	药衡智析_增量源码交接/public_source_candidate/06_评测/dual_model/20260917/visual/v0-s1-pages/input/page-03.png	286141	b1c284c486a731d2425f9c0dd38725ab57c8216c	RETAIN_BRANCH_HISTORY_OWNER_COORDINATION_ONLY
