path	bytes	sha256	git_blob	proposed_action
.gitattributes	468	71ea5016b891bef51ac2c386619332dd5185bd057c20606661b1b87f20d0a5ca	4b6aba95503f9b08ea6e068fcf58fd85e7b56908	保留当前源码/文档/合同/测试/凭据；补导航即可
.gitignore	4738	b47f4ab37fe8c94630a149bb83ae7c59d0a21adabea6a63f31d6985190a11f35	32e6b673c4b9274453710eeda71507164acc3638	保留当前源码/文档/合同/测试/凭据；补导航即可
README.md	1376	0c0858f8bc3a469a018b10c90fcce227f1cb728de339525b556ed0ba01d747f5	b2d9d5235017597f157e2c4c5a53c4868f7b2237	保留当前源码/文档/合同/测试/凭据；补导航即可
ZCODE_HANDOFF.md	226	65d404f0fa6eaf64fba098946bb35ae43686c2d21929f14d79de2f592969dfcc	c7a57ac74afc80217e5e7569531a73fe2560cfa1	保留当前源码/文档/合同/测试/凭据；补导航即可
双模型接续审计.md	316	3ab62f2afa75dac27f2531b84efad3c035890a73cb10969649d2f789610e49e3	4483c2a4d41beb6d31d435ce22a8acb414882926	保留当前源码/文档/合同/测试/凭据；补导航即可
药衡智析_增量源码交接/README.md	391	44b2fb018541ec9bedae48893ec0e9c0d0174ec57f0245ff065707a57c8b34fb	50b06f80a2928f15f9299a81b77f0325c044239b	保留当前源码/文档/合同/测试/凭据；补导航即可
药衡智析_增量源码交接/prepare_team_workspace.py	1913	3c28a8bd3fe943d80c64242d23de09a6faabe6433c1834ee2d93d048887857de	9a0a179318c20e644854937ad46c3f9913cb24bd	保留并补工具入口；没有已证实可删的孤立脚本
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/7.（创灵境）2026年第二届重庆市AI大模型创新应用大赛企业出题.docx	35554	99a284a536eeb4d4da86b0285a0f280e1f85c0fe4d4d20b3ff7634f6281c2a6f	d8ecf81a7367151724f3edb3f41ccdfbdd652052	保留原样；不列删除候选
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/创灵境_考题模拟数据1.1.zip	2095253	99b20a025648042911c42943fb052f418cddafd21b2d1fb2e13888066b6df3a7	ec365a279978429109e4894e53d8d0fb5c060d10	保留原样；不列删除候选
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_人工工时明细_2026年1-6月.csv	1565	cb4d519b474fe144dcbba64988039e60d5207c3bc44c5927e903bdf5ba4bf323	117fa32eb145d0dddf3a34182f7bf5eec9e0415d	保留原样；不列删除候选
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_制造费用明细_2026年1-6月.csv	8086	9fe8245f517e8cd787d58e9113f93d08521043975a4997dead3329e12caee90f	d191d81c920a3051c9e8c2ad9fd1b39126bc8037	保留原样；不列删除候选
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_原材料消耗明细_2026年1-6月.csv	10175	911cb2ac45043f027848df6ad7daea55c0f3d6b4d2a2397a783abfb1b71be8d5	49569b6f8464bcb15ee4e0605698e69f2b24b6d4	保留原样；不列删除候选
药衡智析_增量源码交接/public_source_candidate/00_赛题原始资料/模拟数据_V1.1_净化解压/创灵境_考题模拟数据/01_成本明细数据/中药一厂_成本汇总_2025年1-6月.csv	1780	a0d573417032d3fa865af82567fc81e1cad151678fe4f4fd77464f259fc3d96b	54bd8bb4ef5ccc9f4503d114b9dc448090f3139e	保留原样；不列删除候选
